Ultimate EUW Challenger Ornn OTP Matchups Sheet,,,,,
Cho'Gath,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Unflinching
Inspiration: Biscuits, Magical Footwear
Attack Speed, 2 MR",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radient Virute > Gargoyle if 2 AP or Bami's Cinder > Force Of Nature > Radiant Virtue if 3 AP  ,Medium,You both scale really hard but cho'gath does fuck you up with his silence so you can't properly combo him so either ult and just let it go through and auto attack with the brittle or just walk away and wait for the ram it's like a second w and then w his q that's how your fights lvl 6 should go.If cho'gath fucks up his w timing well great just ult him
Corki,Win | 3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, Magic Resist, Armor",Doran's Shield >  Null Magic Mante > Radiant Virtue > Gargoyle if 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Medium,Boring farm matchup. Blow his W and look for all in with Ult.
Darius,Lose | 3 Points into Q > W > E > Finish Maxing Q | ,"Sorcery: Phase Rush, Manaflow, Transendence, Scorch                     Inspiration: Cookie, Boots
AD, 2 Armor",Doran's Shield > Bami's Cinder > Wardens Mail > Sunfire > Radiant Virtue,Medium ,I personally love this matchup it's very fun. As all darius matchups let the wave push to you and you can begin comboing him after lvl 3 you gotta q w and e away that's your bread and butter or when he's chasing you or just melee range w his e so you deny his E Q guaranteed heal. You outscale him so it's not a problem if you don't try to fight him
Diana,Win | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double MR ",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radient Virute > Gargoyle if 2 AP or Bami's Cinder > Force Of Nature > Radiant Virtue if 3 AP  ,Easy,Wait out her W shield it refreshes once she gets all orbs rehit. Look for tripple brittle combo. Her E can dodge your W she appears behind you
Doctor Mundo,Skill | W > E > Q ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Cookies, Boots
Attack Speed, Armor, MR ",Doran's Shield > Bami's Cinder > Executioner > Sunfire > Radiant Virtue ,Medium,Just farm and punish him when he goes for cs you're much stronger lvl 1>5 after that it's tough to kill him
Draven ,Skill | W > E > Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, 2 Armor",Doran's Shield > Frozen Heart > Radiant Virtue,Hard,His E can cancell your E and R2 so be careful of that and his strong level 1.
Ekko,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Unflinching
Inspiration: Biscuits, Cosmic Insight
Attack Speed, Double Magic Resist",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radient Virute > Gargoyle if 2 AP or Bami's Cinder > Force Of Nature > Radiant Virtue if 3 AP  ,Medium,Just dont get hit by his third attack
Fiora,"Lose | If Fiora player is bad go W > E > Q, if she is good take 3 points Q > Back to W > E > Q | Flash TP | ","Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
Attack Speed, Double Armor",Doran's Shield > Bramble > Frozen Heart > Radiant Virtue,Should have banned it,"Have to know fiora Q range so you can bait her into wasting Q. You can reset vitals, but make sure you're not giving up exp to do so. Your objective this lane is not to kill her, you want to survive and look for kills with Jungle help. You can farm from range with Q and W. You can bait out Fiora's W by applying brittle on her and cancelling your auto. Once her W is on cooldown (24 seconds cd rank 1). You can kill her with Ignite from spellbook. Do not let Fiora farm platings on you, look to clear the wave when it crashes. LET HER HAVE THE PUSH YOU CANNOT PLAY IF YOU'RE PUSHING."
Fizz,Even |  W > E > Q | ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed > MR > HP",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radient Virute > Gargoyle if 2 AP or Bami's Cinder > Force Of Nature > Radiant Virtue if 3 AP  ,Easy,Get prio with grasp you can W his ult knockup. E away as soon as he E's to damage you or all ins with ult.
Galio,Win | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,W his E and poke him down. Ping his level 6 Roams and you free scale
Gangplank,Skill GP Favoured | 3 Points Q > W > E > Q | ,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, Armor, HP",Doran's Shield  > Anathema > Radiant Virtue > Gargoyle ,Medium,Don't get hit too much from his q hide in bushes and make sure your Doran's Shield passive regen stays up the whole time won't eat his q endlessly. Farm until you can q and combo him into oblivion or just farm and scale you won't really have much kill potential against a gangplank who knows the matchup
Garen,Even | W > E > Q | ,"Resolve: Grasp, Demolish, Bone Plating, Overgrowth
Inspiration: Cookies, Boots
Attack Speed, Armor, HP",Doran's Shield > Bami's Cinder > Sunfire > Radiant Virtue > Gargoyle,Easy,Bully level 1 with grasp and Q > W him on repeat. Make sure to drop his passive with your W never let him regen and poke him down continously until he DIES. Careful for his Q E combo kite him away when he does it with your Q and Dash away with E. Watch out for his Ignite + Ult it kills very quickly when youre 40% HP and lower recall when you reach that much HP. 
"Gnar
",Skill | W > E > Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
Ability Haste, 2 Armor Runes",Doran's Shield > Wardens Mail > Ruby Crystal > Frozen Heart > Radiant Virtue,Medium ,"Your W can deny his ult. BE careful from his poke and look to punish when he uses E. Sidestep his Q when he throws it and comes back, dont let him get the three auto W on you."
Gragas,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Unflinching 
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Magic Resist",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radiant Virtue > Gargoyle if 2 AP Or Doran's Shield > Bamis Cinder > Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,W his e and if he has it up don't engage he cancel it and run away. This matchup is just a farm fest buy cull and chill. Also wait for him to use his q and then brittle because if he holds his q he doesn't get the damage
Graves,Skill | W > E > Q ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Magical Footwear, Biscuits
Attack Speed, Double Armor",Doran's Shield > Wardens Mail > Ruby Crystal > Frozen Heart > Radiant Virtue ,Above Medium,Don't let him push you in and trade a lot with Dorans Shield and second wind. Stay behind minions and stay away from walls he will q you.
Gwen,Lose | W > E > Q ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Cookie, Magical Footwear                                       Attack Speed, MR, HP",Doran's Shield > Null Magic Mantle > Radient Virtue > Gargoyle if 2 AP or Force of Nature > Radiant Virtue if they have 3 AP   | Build Executioner when you can afford to,Hard,Dangerous lvl 1 focus on short trades and sidestepping her q dont w when her stacks are full because she will melt you. Dueling her after 1st item is almost impossible due to her insane damage but shes useless in teamfights so you just focus on team fighting and pushing the wave and roaming. The champion is way overtuned 
Hecarim,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed > Double Armor",Doran's Shield > Bami's Cinder > Bramble Vest > Sunfire > Radiant Virtue,Medium,W his E dont let him W you near a lot of minions it heals a lot and back off when his Q is stacked
Heimerdinger,Skill | 3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Negatron Cloak Into Radiant Virtue Into Force of Nature ,Medium,He will perma push just farm til 6 and wait for your jungler or full all in him
Illaoi,Lose Lane Win Game Don't die / Dodge nobody plays Illaoi you're not gonna play against her in the next lobby | W > E > Q  ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor                                                          ",Doran's Shield > Executioner > Anathema > Radiant Virtue ,Medium Annoying ,"Fight her level 1-3. Stay behind minions and poke her with q and e then walk back to the wave if you w she es you and wins the trade also her ult doesn't make your brittle proc so watch out for that, Always be sidestepping and if you run out of her outer E stand still and wait for tentacle to spawn but dont kill it let it hit twice so it doesn't spawn another one and sidestep it,"
Irelia,Skill | W > E > Q | ,"Resolve: Grasp, Demolish, Bone Plating, Unflinching
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor",Doran's Shield > Wardens > Bramble > Radiant Virtue ,Hard,Try to dodge her e or w it and bully the fuck out of her lvl 1 and back off into tower when she has 4 stacks if she's good you just perma farm or all in her at lvl 7
Ivern,Win | W > E > Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
Attack Speed, MR. HP",Doran's Shield >  Null Magic Mante > Radiant Virtue > Gargoyle if 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,Triple Brittle Combo him and farm ez lane
Janna ,As soon as you get 6 roam and ult mid | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Domination: Cheap Shot, Ultimate Hunter
Attack Speed, Armor, HP",Bamis Cinder > Boots of Swiftness > Radiant Virtue,Hard,Perma Roam after 6 everytime you have ult up and try to get picks on the map with it.
Jarvan,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor",Doran's Shield > Wardens Mail > Sunfire > Radiant Virtue,Easy,W his E Q combo. YOur E can break his Ult so use it as free knockup
Jax,Skill | W > E > Q ,"Resolve: Grasp, Demolish, Bone Plating, Overgrowth
Inspiration: Biscuits, Cosmic Insight
Ability Haste, 2 Armor ",Doran's Shield > Wardens > Boots > Bramble > Radiant Virtue ,Hard,"Stand near walls for E knockup and play around his E cooldown. Kite him away at all times his Q is 8S cd your dash is 14S. Always E away if he jumps you and youre not near walls to run away.
"
Jayce,Skill | 3 Points into Q > W > E > > Finish Q | ,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, 2 Armor",Doran's Shield > Wardens Mail > Kindlegem > Aegis > Radiant Virtue,Hard,He will try to phase rush and do short combos but to be honest you win by just not dying and you're stronger than him but spam out your qs as fast as you can when he engages he will run away with e+ phase rush so just q w ult him to win the trade and give up prio lvl 1
Jhin,Skill |  Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force , 2 Armor",Doran's Shield > Wardens Mail > Radiant Virtue > Finish Randuins when he builds crit skip Radiant Virtue if he builds crit faster,Easy,Sidestep his W and dont stay near HP minions because his Q bounces and deals more damage for each minion killed and then itll bounce on to you. Keep your distance and you should be fine.
Jinx,Skill | 3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
1 Adaptive Force, Armor",Doran's Shield > Frozen Heart > Radiant Virtue,Easy,Her E can stop your R2 so watch out for that and poke her down.
K'sante,Lose | W > E > Q | ,"Resolve: Grasp, Demolish, Second Wind, Unflinching
Inspiration: Cookies, Boots
Attack Speed, 2 Armor",Doran's Shield > Bamis Cinder > Wardens Mail > Sunfire > If ahead otherwise go Frozen Heart if behind,Very Hard,Poke with W his W is unstoppable can deny ult and brittles damage.
Kaisa,Win | 3 Points into Q > W > E ,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, Magic Resist, Armor",Doran's Shield > Wardens Mail > Kindlegem > Frozen Heart > Radiant Virtue,Easy,Stay Behind minions let her push in and throw Q at her. She will use her ult to dodge yours so walk away when you ult.
Kalista,Skill |  3 Points into  Q > W > E,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
AD, 2 Armor Runes",Doran's Shield > Wardens Mail > Frozen Heart > Radiant Virtue,Medium,Very cheesy lane just wait til  level 6
Karma,Even |  3 Points into Q> W > E > Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
AD, Double MR",Doran's Shield > Null Magic Mantle > Radient Virtue > Gargoyle if 2 AP or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,Just Farm
Karthus,Skill |  3 Points into Q > W > E,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, AD, MR",Doran's Shield > Bamis Cinder > Negatron Cloak Into Radiant Virtue Into Force of Nature   ,Medium,Sidestep his Q's and be careful lvl 1
Kassadin,Even |  5 Points into Q > W > E ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, AD, MR",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radiant Virtue > Gargoyle if 2 AP or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy , Just spam Q and try to bully him with your grasp autos and Q
Katarina,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Armor, Magic Resist",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radient Virute > Gargoyle if 2 AP or Bami's Cinder > Force Of Nature > Radiant Virtue if 3 AP  ,Medium,"Dont stay near her daggers punish when she uses E without her daggers since it will be on cooldown just wait for her to trade with you and keep her in lane and CC her in teamfights,"
Kayle,Skill |  3 Points into Q > W > E | ,"Sorcery: Arcane Cummet, Manaflow Band, Transendence, Scorch                                                         Inspiration: Cookies, Boots
AD, Armor, MR",Doran's BLADE IF YOURE A MAN or Doran's Shield > Radiant Virtue ,Medium,Force an all in at lvl 6 your ult has lower cd then hers and wait out until you can proc brittle
Kayn,Win | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Cookies, Magical Footwear
Attack Speed, 2 Armor",Doran's Shield > Sunfire > Radiant Virtue,Easy,You can W darkin Kayn W and E the wall when hes using his E inside walls. Hold your ult if he has his unless you catch him in a triple brittle combo because he cant escape that since its full CC and he cant press R in it.
Kennen,Even | 3 Points Q > W > E > Finish Q | Exhaust TP,"Inspiration: Glacial Augment, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
AD, Armor, MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Medium,"Stayin bushes and farm with q look for short trades q and e and walk away. Try to bait his E after 6 and when its down punish with your ult combo or just straight up ult him, don't let kennen hit you with all 3 electric balls or he stuns you keep that in mind when you try to ult him. Don't let him hit you with his electric shuriken it will shine you will know,"
Kled,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor",Doran's Shield > Wardens Mail > Sunfire > Radiant Virtue,Medium,Your lvl 1 is stronger dont give prio when he qs and connects keep fighting and get all the damage you can and dismounted mode will be up when your cooldowns are down you won't have enough damage. Focus on sidestepping his e q.
LeBlanc,Skill |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Medium,E away from her E dont let her proc Her Q it will do a lot of damage
Lee Sin,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor",Doran's Shield > Bami's Cinder > Sunfire > Radiant Virtue,Medium,Fight behind minions do deny his Q. Save W to deny his R after 6 you will know he's casting because it will root you first. Don't trade too much level 1 if he starts E since it does Magic Damage. Slowly Poke him down
Lilia,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, 2 MR                                                                         ",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radiant Virtue > Gargoyle if 2 AP or Force of Nature > Radiant Virtue if they have 3 AP  ,Hard,Save your brittle to deny her W if you can pre>6. After that save it to deny her ult but you have to use it at the last second. Trade right next to her so she doesnt get more damage from outer Q. Sidestep her E and you should be fine
Lissandra,Even | W > E > Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,Sidestep her Q's and poke her with Q W combos. Interrupt her when shes casting E
Lucian,Skill |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
1 Adaptive Force, 2 Armor",Doran's Shield > Wardens Mail > Frozen Heart > Radiant Virtue ,Medium ,Wait until he uses his e forward then you flash all in him and hope for the best his lvl 1 is very strong so you fight lvl 6 and if you fight earlier make sure to keep the trades short
Lulu,Skill |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
Attack Speed, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Medium,Walk away when you ult She Can polymorph you and not allow you to cast or ult herself and knock you up
Lux,Skill |  3 Points into  Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,All in her at 6. E away from her Q and poke her with your Q. Dont allow her to proc her passive from her autos
Malphite,Win | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Unflinching
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double MR",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radiant Virtue > Gargoyle if 2 AP or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,"Easy matchup just farm and murder him, you can W his R, dont let his passive come back up"
Malzahar,Even | W > E > Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Negatron Cloak > Ruby Crystal > Aegis > Ruby Crystal > Force Of Nature > Radiant Virtue,Easy,Dont stay near low HP minions or you get space AIDS. Poke and farm
Maokai,Even | W > E > Q | ,"Resolve: Grasp, Demolish, Second Wind, Unflinching
Inspiration: Biscuits, Magical Footwear
Attack Speed, MR, HP",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radiant Virtue > Gargoyle if 2 AP or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,Just beat the shit out of him and outscale 
Master Yi,Win | W > E > Q,"Resolve: Grasp, Demolish, Bone Plating, Overgrowth
Inspiration: Cookies, Magical Footwear
Attack Speed, 2 Armor",Doran's Shield > Wardens > Bramble Vest > Thornmail > Radiant Virtue,Easy,Dont let him Q your ult and CC his W and you should be fine
Mordekaiser,Skill Lose After 6 If Morde is Good | W > E > Q | ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth 
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double MR                                                                                               ",Doran's Shield > Force of Nature or Anathema If hes solo AP or straight Radient into Gargoyle if they have 2 AP > Radiant Virtue,Medium,You win pre 6 and there's one trick to this matchup when you ult he's gonna try to ult you right well you can just not press ult and press w instead you deny him his r and you have the advantage of doing damage with both abilities 2>0 and he has a brittle proc or walk away until the ram catches up and your trades before lvl 5 should look something like q e auto run away he's gonna E and you w back at him and auto and you keep running.
Morgana,Even |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, MR, HP",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,Farm dont try to touch her with W just Q only.
Nasus,Skill Lose After 6 | 3 Points Into Q > W > E > Finish Q | ,"Sorcery: Arcane Cummet, Manaflow Band, Transendence, Scorch                                                         Inspiration: Cookies, Boots
Attack Speed, AD, HP",Long Sword Refillable > Executioner > Frozen Heart > Radiant Virtue,Medium,This is a wave management lane. If you push too deep he gets free farm and you lose if you freeze and use spells to break freeze you lose. Try your best to fuck him up early as much as possible don't let him free farm and keep wave on your side and make sure the spells hit as little of the wave as possible. Don't let him turn into a monster and watch out for his level 6 sheen power spike. Just repeat Q W E until hes low to kill.
Nautilius,Win | W >  E > Q,"Resolve: Grasp, Demolish, Second Wind, Unflinching
Inspiration: Biscuits, Magical Footwear
Attack Speed, MR, HP",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radiant Virtue > Gargoyle if 2 AP or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,
Neeko,Lose |  3 Points into Q > W > E,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
Attack Speed, Double MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Hard,Very strong poke dont stay in front of minions very annoying matchup try looking for all ins with your q. Always dash away when she casts her root your dash will not get interrupted
Nidalee,Skill |  3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, Armor, MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,Dont let her poke you a lot and combo her
Nilah,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor",Doran's Shield > Bamis Cinder > Wardens Mail > Radiant Virtue > Finish Randuins when she builds Crit,Medium,Dont fight in extended trade vs her and play with jungle not really killable lane
Nocturne,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor",Doran's Shield > Bami's Cinder > Bramble > Sunfire > Radiant Virtue,Medium,Poke and poke and poke do not trade too many autos near wave because his heal increases the more minions he hits with his passive. He can't W your Ult Or E properly if you hit all knock up radiuses so feel free to use them next to walls.
Nunu,Win | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Unflinching
Inspiration: Biscuits, Magical Footwear
Attack Speed, MR, HP",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radiant Virtue > Gargoyle if 2 AP or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,Dont stay in nunus E or R. Ping his roams
